K10150	K17069
K04440	K04541
K02583	K04393
K01519	K02999
K13524	K13799
K01589	K11787
K05866	K06641
K00601	K13402
K01047	K13333
K01615	K01715
K03099	K04350
K04133	K04634
K03783	K09018
K00394	K16968
K04513	K18050
K10681	K10682
K00945	K08722
K03787	K13757
K00527	K08043
K08248	K10816
K02320	K14642
K01610	K01689
K00873	K03047
K02230	K13786
K00486	K01556
K00128	K04072
K00461	K00509
K04519	K09446
K02323	K16904
K00281	K00305
K13812	K14029
K00619	K13821
K05719	K06584
K00381	K15765
K07418	K14621
K08352	K08359
K08042	K13294
K05081	K11220
K06820	K07530
K00012	K17716
K00225	K00423
K00262	K10945
K11987	K17719
K03815	K11751
K00316	K12254
K01370	K12801
K15399	K15400
K02620	K08731
K12349	K12354
K04447	K04695
K04498	K04692
K04551	K04553
K01625	K11517
K04765	K13755
K02115	K06019
K04438	K05099
K00823	K14755
K03045	K08044
K00387	K03119
K08352	K17223
K02320	K09887
K01769	K03023
K00430	K05821
K10163	K13375
K08479	K10697
K00600	K00601
K04181	K16597
K01441	K12354
K06001	K13498
K04382	K04865
K00610	K11541
K00923	K13712
K02105	K06112
K05730	K07364
K07418	K15718
K05099	K05690
K03251	K03262
K04438	K05726
K01735	K05887
K00148	K16259
K00922	K05859
K01622	K01803
K00149	K01568
K01965	K08691
K00390	K02439
K00125	K00195
K01912	K02610
K00364	K08723
K00940	K03014
K08486	K15292
K00650	K01048
K06485	K06588
K12329	K12751
K01210	K05349
K01099	K05861
K00756	K02825
K04345	K09865
K00454	K07415
K03348	K06635
K00527	K03027
K00287	K00602
K04188	K04447
K00923	K05859
K01478	K13253
K01067	K15024
K04374	K05869
K00037	K12345
K04538	K04605
K04178	K05506
K00161	K03777
K04498	K09063
K07827	K15420
K00261	K01948
K01201	K12348
K03268	K17067
K04512	K04513
K08336	K08339
K01572	K03778
K01782	K09478
K01110	K07209
K00128	K13951
K06068	K06786
K01822	K07434
K01692	K10527
K02160	K10977
K02999	K11029
K00825	K05827
K00529	K14333
K04950	K05028
K12305	K14641
K00789	K17462
K00860	K00957
K00119	K00967
K00631	K13509
K15011	K15012
K03006	K08041
K03588	K13584
K04696	K05060
K05103	K06619
K13503	K14187
K00725	K03369
K03012	K08044
K00626	K00627
K04421	K04432
K07816	K11265
K00945	K10808
K07127	K13485
K11421	K13645
K07831	K08052
K00210	K00815
K00149	K17688
K05057	K11218
K04322	K04636
K12128	K12134
K03015	K05851
K03237	K03241
K07360	K07362
K00070	K17689
K04441	K04630
K17719	K17862
K03022	K11029
K01080	K17900
K04285	K04547
K01084	K12309
K08738	K15040
K07520	K07860
K03520	K11181
K04161	K07825
K05099	K05450
K02329	K03068
K00976	K02771
K09024	K16330
K01054	K13534
K04379	K08551
K03024	K14641
K01437	K11540
K05368	K14410
K00410	K00411
K00925	K04020
K04304	K10031
K01117	K01441
K04694	K05073
K00157	K07409
K01568	K14029
K02406	K12807
K05697	K07361
K01656	K14187
K00957	K17222
K00171	K01572
K10380	K17388
K05689	K13730
K05702	K07829
K00760	K11178
K00075	K01924
K08022	K17726
K00273	K00304
K05064	K11219
K10578	K10661
K00018	K11473
K00509	K16342
K00444	K01691
K00430	K11358
K00167	K00189
K04498	K11225
K03175	K04731
K07636	K07658
K03005	K08045
K00873	K00939
K03026	K12320
K04630	K08049
K00769	K13762
K07836	K08014
K00029	K00116
K00135	K00247
K05284	K05286
K02777	K02779
K11124	K11584
K12407	K15916
K03237	K03250
K00513	K07433
K00430	K00811
K01519	K03026
K04392	K06820
K00668	K01071
K01782	K13767
K05315	K12361
K01049	K06124
K04371	K04692
K00247	K07540
K03085	K09202
K02649	K07828
K15718	K16342
K04163	K04543
K05058	K11217
K00155	K01726
K17069	K17993
K04415	K04456
K03156	K04729
K05103	K16859
K00286	K00294
K00237	K01678
K02677	K05692
K00797	K01243
K08660	K14152
K06209	K14170
K03000	K04765
K00181	K01384
K05094	K05467
K00962	K03051
K14075	K15728
K01129	K14159
K05256	K09047
K11221	K16064
K05859	K15422
K03355	K12782
K01809	K15916
K00681	K15428
K00399	K00582
K15484	K15485
K04091	K15554
K01507	K02136
K00172	K08692
K11473	K14450
K01850	K04518
K01805	K02770
K04293	K09408
K01034	K04072
K01092	K01108
K00812	K15226
K03002	K08047
K00892	K04765
K00045	K01112
K07375	K12809
K05078	K05697
K00865	K01601
K02822	K08232
K01518	K03000
K00220	K04516
K00011	K12112
K03050	K08049
K04657	K04662
K00364	K14642
K00100	K02812
K00953	K14410
K04262	K04634
K02791	K06859
K04697	K05139
K04403	K12793
K01084	K02790
K03078	K03079
K02112	K11726
K03348	K03363
K02326	K09887
K01574	K01640
K00140	K03339
K07198	K12358
K15398	K17991
K00171	K15231
K03784	K08693
K03083	K17332
K01591	K13809
K00945	K03787
K00029	K01959
K01494	K02324
K04224	K04635
K01644	K01681
K03000	K12320
K01510	K13759
K07709	K07713
K02219	K03875
K05210	K06269
K00572	K06230
K04720	K16651
K01087	K01236
K02581	K04456
K00171	K01958
K07674	K07684
K03068	K04690
K03173	K04392
K14400	K14407
K01593	K07130
K07875	K15481
K02591	K17877
K06531	K16350
K03815	K13481
K06162	K06164
K04630	K04853
K02327	K14642
K00759	K13759
K01595	K01610
K02649	K05097
K02303	K13542
K04427	K04430
K07887	K12481
K05096	K05725
K00799	K17719
K12795	K12800
K03524	K08351
K01494	K03052
K00171	K01963
K00789	K01611
K05867	K06631
K03060	K12324
K04700	K11219
